IdPedido|IdCliente|IdEmpleado|FechaPedido|FechaEntrega|FechaEnvio|FormaEnvio|Cargo|Destinatario|DireccionDestinatario|CiudadDestinatario|RegionDestinatario|CodPostalDestinatario|PaisDestinatario
10248|WILMK|5|1994-08-04|1994-09-01|1994-08-16|3|32|Wilman Kala|Keskuskatu 45|Helsinki||21240|Finlandia
10249|TOMSP|6|1994-08-05|1994-09-16|1994-08-10|1|12|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Alemania
10250|HANAR|4|1994-08-08|1994-09-05|1994-08-12|2|66|Hanari Carnes|Rua do Paço. 67|Río de Janeiro|RJ|05454-876|Brasil
10251|VICTE|3|1994-08-08|1994-09-05|1994-08-15|1|41|Victuailles en stock|2. rue du Commerce|Lyon||69004|Francia
10252|SUPRD|4|1994-08-09|1994-09-06|1994-08-11|2|51|Suprêmes délices|Boulevard Tirou. 255|Charleroi||B-6000|Bélgica
10253|HANAR|3|1994-08-10|1994-08-24|1994-08-16|2|58|Hanari Carnes|Rua do Paço. 67|Río de Janeiro|RJ|05454-876|Brasil
10254|CHOPS|5|1994-08-11|1994-09-08|1994-08-23|2|23|Chop-suey Chinese|Hauptstr. 31|Bern||3012|Suiza
10255|RICSU|9|1994-08-12|1994-09-09|1994-08-15|3|148|Richter Supermarkt|Starenweg 5|Genève||1204|Suiza
10256|WELLI|3|1994-08-15|1994-09-12|1994-08-17|2|14|Wellington Importadora|Rua do Mercado. 12|Resende|SP|08737-363|Brasil
10257|HILAA|4|1994-08-16|1994-09-13|1994-08-22|3|82|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10258|ERNSH|1|1994-08-17|1994-09-14|1994-08-23|1|141|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10259|CENTC|4|1994-08-18|1994-09-15|1994-08-25|3|3|Centro comercial Moctezuma|Sierras de Granada 9993|México D.F.||05022|México
10260|OTTIK|4|1994-08-19|1994-09-16|1994-08-29|1|55|Ottilies Käseladen|Mehrheimerstr. 369|Köln||50739|Alemania
10261|QUEDE|4|1994-08-19|1994-09-16|1994-08-30|2|3|Que Delícia|Rua da Panificadora. 12|Río de Janeiro|RJ|02389-673|Brasil
10262|RATTC|8|1994-08-22|1994-09-19|1994-08-25|3|48|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10263|ERNSH|9|1994-08-23|1994-09-20|1994-08-31|3|146|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10264|FOLKO|6|1994-08-24|1994-09-21|1994-09-23|3|4|Folk och fä HB|Åkergatan 24|Bräcke||S-844 67|Suecia
10265|BLONP|2|1994-08-25|1994-09-22|1994-09-12|1|55|Blondel père et fils|24. place Kléber|Strasbourg||67000|Francia
10266|WARTH|3|1994-08-26|1994-10-07|1994-08-31|3|26|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10267|FRANK|4|1994-08-29|1994-09-26|1994-09-06|1|209|Frankenversand|Berliner Platz 43|München||80805|Alemania
10268|GROSR|8|1994-08-30|1994-09-27|1994-09-02|3|66|GROSELLA-Restaurante|5ª Ave. Los Palos Grandes|Caracas|DF|1081|Venezuela
10269|WHITC|5|1994-08-31|1994-09-14|1994-09-09|1|5|White Clover Markets|1029 - 12th Ave. S.|Seattle|WA|98124|Estados Unidos
10270|WARTH|1|1994-09-01|1994-09-29|1994-09-02|1|137|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10271|SPLIR|6|1994-09-01|1994-09-29|1994-09-30|2|5|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
10272|RATTC|6|1994-09-02|1994-09-30|1994-09-06|2|98|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10273|QUICK|3|1994-09-05|1994-10-03|1994-09-12|3|76|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10274|VINET|6|1994-09-06|1994-10-04|1994-09-16|1|6|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|Francia
10275|MAGAA|1|1994-09-07|1994-10-05|1994-09-09|1|27|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bérgamo||24100|Italia
10276|TORTU|8|1994-09-08|1994-09-22|1994-09-14|3|14|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|México
10277|MORGK|2|1994-09-09|1994-10-07|1994-09-13|3|126|Morgenstern Gesundkost|Heerstr. 22|Leipzig||04179|Alemania
10278|BERGS|8|1994-09-12|1994-10-10|1994-09-16|2|93|Berglunds snabbköp|Berguvsvägen  8|Luleå||S-958 22|Suecia
10279|LEHMS|8|1994-09-13|1994-10-11|1994-09-16|2|26|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M. ||60528|Alemania
10280|BERGS|2|1994-09-14|1994-10-12|1994-10-13|1|9|Berglunds snabbköp|Berguvsvägen  8|Luleå||S-958 22|Suecia
10281|ROMEY|4|1994-09-14|1994-09-28|1994-09-21|1|3|Romero y tomillo|Gran Vía. 1|Madrid||28001|España
10282|ROMEY|4|1994-09-15|1994-10-13|1994-09-21|1|13|Romero y tomillo|Gran Vía. 1|Madrid||28001|España
10283|LILAS|3|1994-09-16|1994-10-14|1994-09-23|3|85|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10284|LEHMS|4|1994-09-19|1994-10-17|1994-09-27|1|77|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M. ||60528|Alemania
10285|QUICK|1|1994-09-20|1994-10-18|1994-09-26|2|77|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10286|QUICK|8|1994-09-21|1994-10-19|1994-09-30|3|229|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10287|RICAR|8|1994-09-22|1994-10-20|1994-09-28|3|13|Ricardo Adocicados|Av. Copacabana. 267|Río de Janeiro|RJ|02389-890|Brasil
10288|REGGC|4|1994-09-23|1994-10-21|1994-10-04|1|7|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italia
10289|BSBEV|7|1994-09-26|1994-10-24|1994-09-28|3|23|B's Beverages|Fauntleroy Circus|London||EC2 5NT|Reino Unido
10290|COMMI|8|1994-09-27|1994-10-25|1994-10-04|1|80|Comércio Mineiro|Av. dos Lusíadas. 23|São Paulo|SP|05432-043|Brasil
10291|QUEDE|6|1994-09-27|1994-10-25|1994-10-05|2|6|Que Delícia|Rua da Panificadora. 12|Río de Janeiro|RJ|02389-673|Brasil
10292|TRADH|1|1994-09-28|1994-10-26|1994-10-03|2|1|Tradição Hipermercados|Av. Inês de Castro. 414|São Paulo|SP|05634-030|Brasil
10293|TORTU|1|1994-09-29|1994-10-27|1994-10-12|3|21|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|México
10294|RATTC|4|1994-09-30|1994-10-28|1994-10-06|2|147|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10295|VINET|2|1994-10-03|1994-10-31|1994-10-11|2|1|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|Francia
10296|LILAS|6|1994-10-04|1994-11-01|1994-10-12|1|0|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10297|BLONP|5|1994-10-05|1994-11-16|1994-10-11|2|6|Blondel père et fils|24. place Kléber|Strasbourg||67000|Francia
10298|HUNGO|6|1994-10-06|1994-11-03|1994-10-12|2|168|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10299|RICAR|4|1994-10-07|1994-11-04|1994-10-14|2|30|Ricardo Adocicados|Av. Copacabana. 267|Río de Janeiro|RJ|02389-890|Brasil
10300|MAGAA|2|1994-10-10|1994-11-07|1994-10-19|2|18|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bérgamo||24100|Italia
10301|WANDK|8|1994-10-10|1994-11-07|1994-10-18|2|45|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Alemania
10302|SUPRD|4|1994-10-11|1994-11-08|1994-11-09|2|6|Suprêmes délices|Boulevard Tirou. 255|Charleroi||B-6000|Bélgica
10303|GODOS|7|1994-10-12|1994-11-09|1994-10-19|2|108|Godos Cocina Típica|C/ Romero. 33|Sevilla||41101|España
10304|TORTU|1|1994-10-13|1994-11-10|1994-10-18|2|64|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|México
10305|OLDWO|8|1994-10-14|1994-11-11|1994-11-09|3|258|Old World Delicatessen|2743 Bering St.|Anchorage|AK|99508|Estados Unidos
10306|ROMEY|1|1994-10-17|1994-11-14|1994-10-24|3|8|Romero y tomillo|Gran Vía. 1|Madrid||28001|España
10307|LONEP|2|1994-10-18|1994-11-15|1994-10-26|2|1|Lonesome Pine Restaurant|89 Chiaroscuro Rd.|Portland|OR|97219|Estados Unidos
10308|ANATR|7|1994-10-19|1994-11-16|1994-10-25|3|2|Ana Trujillo Emparedados y helados|Avda. de la Constitución 2222|México D.F.||05021|México
10309|HUNGO|3|1994-10-20|1994-11-17|1994-11-23|1|47|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10310|THEBI|8|1994-10-21|1994-11-18|1994-10-28|2|18|The Big Cheese|89 Jefferson WaySuite 2|Portland|OR|97201|Estados Unidos
10311|DUMON|1|1994-10-21|1994-11-04|1994-10-27|3|25|Du monde entier|67. rue des Cinquante Otages|Nantes||44000|Francia
10312|WANDK|2|1994-10-24|1994-11-21|1994-11-03|2|40|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Alemania
10313|QUICK|2|1994-10-25|1994-11-22|1994-11-04|2|2|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10314|RATTC|1|1994-10-26|1994-11-23|1994-11-04|2|74|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10315|ISLAT|4|1994-10-27|1994-11-24|1994-11-03|2|42|Island Trading|Garden HouseCrowther Way|Cowes|Isle of Wight|PO31 7PJ|Reino Unido
10316|RATTC|1|1994-10-28|1994-11-25|1994-11-08|3|150|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10317|LONEP|6|1994-10-31|1994-11-28|1994-11-10|1|13|Lonesome Pine Restaurant|89 Chiaroscuro Rd.|Portland|OR|97219|Estados Unidos
10318|ISLAT|8|1994-11-01|1994-11-29|1994-11-04|2|5|Island Trading|Garden HouseCrowther Way|Cowes|Isle of Wight|PO31 7PJ|Reino Unido
10319|TORTU|7|1994-11-02|1994-11-30|1994-11-11|3|65|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|México
10320|WARTH|5|1994-11-03|1994-11-17|1994-11-18|3|35|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10321|ISLAT|3|1994-11-03|1994-12-01|1994-11-11|2|3|Island Trading|Garden HouseCrowther Way|Cowes|Isle of Wight|PO31 7PJ|Reino Unido
10322|PERIC|7|1994-11-04|1994-12-02|1994-11-23|3|0|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|México
10323|KOENE|4|1994-11-07|1994-12-05|1994-11-14|1|5|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Alemania
